AAA	Anaa, French Polynesia
BGJ	Borgarfjordur, Iceland
BGK	Big Creek, Belize
BGL	Baglung, Nepal
BGM	Binghamton, NY [Binghamton Regional Airport/Edwin A. Link Field], USA
BGN	Bruggen, Germany
BGO	Bergen [Flesland], Norway
BGP	Bongo, Gabon
BGQ	Big Lake, AK [Big Lake Airport], USA
BGR	Bangor, ME [Bangor International Airport], USA
BGS	Big Spring, TX [Big Spring McMahon-Wrinkle Airport], USA
BGT	Baghdad [Metropolitan Area], Iraq
BGU	Bangassou, Central African Republic
BGV	Bento Goncalves, RS, Brazil
BGW	Baghdad, Iraq
BGX	Bage, RS, Brazil
BGY	Bergamo, Italy
BGZ	Braga, Portugal
BHA	Baia de Caraquez, Ecuador
BHB	Bar Harbor, ME [Hancock County-Bar Harbor Airport], USA
BHC	Bullhead City, AZ [Laughlin/Bullhead International Airport], USA
BHD	Belfast, Northern Ireland [Harbour Airport], United Kingdom
BHE	Blenheim [Woodbourne Air Station], New Zealand
BHF	Bahia Cupica, Colombia
BHG	Brus Laguna, Honduras
BHH	Bisha, Saudi Arabia
BHI	Bahia Blanca [Comandante Espora], Argentina
BHJ	Bhuj, India
BHK	Bukhoro (Bukhara), Bukhara, Uzbekhistan
BHL	Bahia Angeles, Mexico
BHM	Birmingham, AL [Birmingham International Airport], USA
BHN	Beihan, Yemen
BHO	Bhopal, India
BHP	Bhojpur, Nepal
BHQ	Broken Hill, New South Wales, Australia
BHR	Bharatpur, Nepal
BHS	Bathurst, New South Wales, Australia
BHT	Brighton Downs, Queensland, Australia
BHU	Bhavnagar, India
BHV	Bahawalpur, Pakistan
BHX	Birmingham, England, United Kingdom
BHY	Beihai, China
BHZ	Belo Horizonte, MG [Metropolitan Area], Brazil
BIA	Bastia, Corsica [Poretta], France
BIB	Baidoa, Somalia
BIC	Big Creek, AK, USA
BID	Block Island, RI [Block Island State Airport], USA
BIE	Beatrice, NE [Beatrice Municipal Airport], USA
BIF	Fort Bliss (El Paso), TX [Biggs Army Air Field], USA
BIG	Delta Junction/Fort Greely, AK [Allen Army Air Field], USA
BIH	Bishop, CA [Bishop Airport], USA
BII	Bikini Atoll, Marshall Islands
BIK	Biak [Frans Kaisiepo], Indonesia
BIL	Billings, MT [Billings Logan International Airport], USA
BIM	Bimini (Alice Town), Bimini [South Bimini International Airport], Bahamas
BIN	Bamiyan, Afghanistan
BIO	Bilbao [Sondica], Spain
BIP	Bulimba, Queensland, Australia
BIQ	Biarritz [Parme (Bayonne-Anglet)], France
BIR	Biratnagar, Nepal
BIS	Bismarck, ND [Bismarck Municipal Airport], USA
BIT	Baitadi, Nepal
BIU	Bildudalur, Iceland
BIV	Bria, Central African Republic
BIW	Billiluna Station, Western Australia, Australia
BIX	Biloxi, MS [Keesler Air Force Base], USA
BIY	Bisho, South Africa
BIZ	Bimin, Papua New Guinea
BJA	Bejaia [Soummam], Algeria
BJC	Denver/Broomfield, CO [Jeffco Airport], USA
BJD	Bakkafjordur, Iceland
BJF	Batsfjord, Norway
BJG	Bolaang, Indonesia
BJH	Bajhang, Nepal
BJI	Bemidji, MN [Bemidji-Beltrami County Airport], USA
BJJ	Wooster, OH [Wayne County Airport], USA
BJK	Benjina, Indonesia
BJL	Banjul [Yundum], Gambia
BJM	Bujumbura [International], Burundi
BJN	Bajone, Mozambique
BJO	Bermejo, Bolivia
BJP	Begamganj, Bangladesh
BJR	Bahar Dar, Ethiopia
BJS	Beijing (Peking), China
BJU	Bajura, Nepal
BJW	Bajawa, Indonesia
BJX	Leon [Guanajuato], Mexico
BJY	Belgrade, Yugoslavia
BJZ	Badajoz [Talavera La Real], Spain
BKA	Moscow (Moskva), Moscow [Bykovo], Russia
BKB	Bikaner, India
BKC	Buckland, AK [Buckland Airport], USA
BKD	Breckenridge, TX [Stephens County Airport], USA
BKE	Baker City, OR [Baker City Municipal Airport], USA
BKF	Brooks Camp (Katmai National Park), AK [Lake Brooks Seaplane Base], USA
BKH	Kekana, Kauai, HI [Barking Sands PMRF Airport], USA
BKI	Kota Kinabalu, East, Malaysia
BKJ	Boke, Guinea
BKK	Bangkok [Don Muang International Airport], Thailand
BKL	Cleveland, OH [Burke Lakefront Airport], USA
BKM	Bakalalan, Sarawak, Malaysia
BKN	Birni n'Konni, Niger
BKO	Bamako [Senou], Mali
BKP	Barkly Downs, Queensland, Australia
BKQ	Blackall, Queensland, Australia
BKR	Bokoro, Chad
BKS	Bengkulu, Sumatra, Indonesia
BKT	Blackstone, VA [Camp Pickett/Blackstone Army Air Field-Allen C. Perkinson Municipal Airport], USA
BKU	Betoiky, Madagascar
BKV	Brooksville, FL [Hernando County Airport], USA
BKW	Beckley, WV [Raleigh County Memorial Airport], USA
BKX	Brookings, SD [Brookings Municipal Airport], USA
BKY	Bukavu [Kuvumu], Zaire
BKZ	Bukoba, Tanzania
BLA	Barcelona [Jose A. Anzoategui], Venezuela
BLB	Balboa, Panama
BLC	Bali, Cameroon
BLD	Boulder City, NV [Boulder City Municipal Airport], USA
BLE	Borlange [Borlange Air Base], Sweden
BLF	Bluefield, WV [Mercer County Airport], USA
BLG	Belaga, Sarawak, Malaysia
BLH	Blythe, CA [Blythe Airport], USA
BLI	Bellingham, WA [Bellingham International Airport], USA
BLJ	Batna, Algeria
BLK	Blackpool, England [Squire's Gate Airport], United Kingdom
BLL	Billund, Denmark
BLM	Belmar/Farmingdale, NJ [Allaire Airport], USA
BLN	Benalla, Victoria, Australia
BLO	Blonduos [Hjaltabakki], Iceland
BLP	Bellavista, Peru
BLQ	Bologna [Giuseppe Marconi (Borgo Panigale)], Italy
BLR	Bangalore, India
BLS	Bollon, Queensland, Australia
BLT	Blackwater, Queensland, Australia
BLU	Emigrant Gap, CA [Blue Canyon-Nyack Airport], USA
BLV	Belleville, IL [Scott Air Force Base], USA
BLW	Waimanalo, HI, USA
BLX	Belluno, Italy
BLY	Belmullet, Ireland
BLZ	Blantyre [Chileka], Malawi
BMA	Stockholm [Bromma], Sweden
BMB	Bumba, Zaire
BMC	Brigham City, UT [Brigham City Airport], USA
BMD	Belo, Madagascar
BME	Broome, Western Australia, Australia
BMF	Bakouma, Central African Republic
BMG	Bloomington, IN [Monroe County Airport], USA
BMH	Bomai, Papua New Guinea
BMI	Bloomington, IL [Bloomington/Normal Airport], USA
BMJ	Baramita, Guyana
BMK	Borkum, Germany
BML	Berlin, NH [Berlin Municipal Airport], USA
BMM	Bitam, Gabon
BMN	Bamerny, Iran
BMO	Bhamo, Myanmar
BMP	Brampton Island, Queensland, Australia
BMQ	Bamburi, Kenya
BMR	Baltrum, Germany
BMS	Brumado, BA, Brazil
BMT	Beaumont, TX [Beaumont Municipal Airport], USA
BMU	Bima, Indonesia
BMV	Ban Me Thout, Vietnam
BMW	Bordj Badji Mokhtar, Algeria
BMX	Big Mountain, AK [Big Mountain Airport], USA
BMY	Belep, Belep Islands, New Caledonia
BMZ	Bamu, Papua New Guinea
BNA	Nashville, TN [Nashville International Airport], USA
BNB	Boende, Zaire
BNC	Beni, Zaire
BND	Bandar Abbas, Iran
BNE	Brisbane, Queensland [International], Australia
BNF	Baranof, AK [Warm Spring Bay Seaplane Base], USA
BNG	Banning, CA [Banning Municipal Airport], USA
BNI	Benin City, Nigeria
BNJ	Bonn [Wahn], Germany
BNK	Ballina, New South Wales, Australia
BNL	Barnwell, SC [Barnwell County Airport], USA
BNM	Bodinumu, Papua New Guinea
BNN	Bronnoysund (Broennoeysund) [Bronnoy], Norway
BNO	Burns, OR [Burns Municipal Airport], USA
BNP	Bannu, Pakistan
BNQ	Bagana, Philippines
BNR	Banfora, Burkina Faso
BNS	Barinas, Venezuela
BNT	Bundi, Papua New Guinea
BNU	Blumenau, SC, Brazil
BNV	Boana, Papua New Guinea
BNW	Boone, IA [Boone Municipal Airport], USA
BNX	Banja Luka, Bosnia-Herzegovina
BNY	Bellona, Solomon Islands
BNZ	Banz, Papua New Guinea
BOA	Boma, Zaire
BOB	Bora Bora, Society Islands, French Polynesia
BOC	Bocas del Toro, Panama
BOD	Bordeaux [Merignac], France
BOE	Boundji, Congo
BOF	Washington, DC [Bolling Air Force Base], USA
BOG	Bogota [Eldorado], Colombia
BOH	Bournemouth, England, United Kingdom
BOI	Boise, ID [Boise Air Terminal (Gowen Field)], USA
BOJ	Burgas (Bourgas), Bulgaria
BOK	Brookings, OR [Brookings State Airport], USA
BOL	Ballykelly, Northern Ireland, United Kingdom
BOM	Bombay [Sahar (Santa Cruz) International Airport], India
BON	Bonaire (Kralendijk) [Flamingo Airport], Netherlands Antilles
BOO	Bodo, Norway
BOP	Bouar, Central African Republic
BOQ	Boku, Papua New Guinea
BOR	Belfort, France
BOS	Boston, MA [General Edward Lawrence Logan International Airport], USA
BOU	Bourges, France
BOV	Boang, Papua New Guinea
BOW	Bartow, FL [Bartow Municipal Airport], USA
BOX	Borroloola, Northern Territory, Australia
BOY	Bobo/Dioulasso, Burkina Faso
BOZ	Bozoum, Central African Republic
BPB	Boridi, Papua New Guinea
BPC	Bamenda [Bali], Cameroon
BPD	Bapi, Papua New Guinea
BPG	Barra do Garcas, MG, Brazil
BPH	Bislig, Philippines
BPI	Big Piney, WY [Big Piney-Marbleton Airport], USA
BPN	Balikpapan [Sepinggan], Indonesia
BPR	Great Aussie Hole, Australia
BPS	Porto Seguro, BA, Brazil
BPT	Beaumont/Port Arthur, TX [Jefferson County Airport], USA
BPU	Beppu, Japan
BPY	Besalampy, Madagascar
BQA	Baler, Philippines
BQD	Budardalur, Iceland
BQE	Bubaque, Guinea Bissau
BQH	Biggin Hill, England, United Kingdom
BQK	Brunswick, GA [Glynco Jetport], USA
BQL	Boulia, Queensland, Australia
BQN	Aguadilla [Aeropuerto Rafael Hernandez (Borinquen)], Puerto Rico
BQO	Bouna, Ivory Coast
BQQ	Barra, BA, Brazil
BQS	Blagoveschensk, Amur, Russia
BQT	Brest, Brest, Belarus
BQU	Bequia, St. Vincent and the Grenadines
BQV	Gustavus/Bartlett Cove, AK [Bartlett Cove Seaplane Base], USA
BQW	Balgo Hills, Western Australia, Australia
BRA	Barreiras, BA, Brazil
BRB	Barreirinhas, MA, Brazil
BRC	San Carlos de Bariloche, Argentina
BRD	Brainerd, MN [Brainerd-Crow Wing County Regional Airport], USA
BRE	Bremen [Nieuenland], Germany
BRF	Bradford, England, United Kingdom
BRG	Whitesburg, KY [Whitesburg Municipal Airport], USA
BRH	Brahman, Papua New Guinea
BRI	Bari [Palese Macchie], Italy
BRJ	Bright, Victoria, Australia
BRK	Bourke, New South Wales, Australia
BRL	Burlington, IA [Burlington Municipal Airport], USA
BRM	Barquisimeto, Venezuela
BRN	Bern (Berne) [Bern-Belp], Switzerland
BRO	Brownsville, TX [Brownsville/South Padre Island International Airport], USA
BRP	Biaru, Papua New Guinea
BRQ	Brno, Czech Republic
BRR	Barra, Scotland, United Kingdom
BRS	Bristol, England [Lulsgate], United Kingdom
BRT	Bathurst Island, Northern Territory, Australia
BRU	Brussels (Bruxelles) [National/Zaventem], Belgium
BRV	Bremerhaven, Germany
BRW	Barrow, AK [Wiley Post-Will Rogers Memorial Airport], USA
BRX	Barahona, Dominican Republic
BRY	Bardstown, KY [Samuels Field], USA
BRZ	Borotou, Venezuela
BSA	Bossaso, Somalia
BSB	Brasilia, DF [Internacional], Brazil
BSC	Bahia Solano, Colombia
BSD	Baoshan, China
BSE	Sematan, Malaysia
BSF	Camp Pohakuloa, HI [Bradshaw Army Airfield], USA
BSG	Bata, Equatorial Guinea
BSH	Brighton, England, United Kingdom
BSI	Blairsville, PA [Jim Shearer South Airport], USA
BSJ	Bairnsdale, Victoria, Australia
BSK	Biskra, Algeria
BSL	Basel [Basel/Mulhouse EuroAirport], Switzerland
BSM	Austin, TX [Bergstrom Air Rescue Service Airport], USA
BSN	Bossangoa, Central African Republic
BSO	Basco, Philippines
BSP	Bensbach, Papua New Guinea
BSQ	Bisbee, AZ [Bisbee Municipal Airport], USA
BSR	Basra [International], Iraq
BSS	Balsas, MA, Brazil
BST	Bost, Afghanistan
BSU	Basankusu, Zaire
BSV	Bosset, Papua New Guinea
BSW	Boswell Bay, AK [Boswell Bay Airport], USA
BSX	Bassein, Myanmar
BSY	Bardera, Somalia
BSZ	Egegik, AK [Bartletts Airport], USA
BTA	Bertoua, Cameroon
BTB	Betou, Cameroon
BTC	Batticalca, Sri Lanka
BTD	Brunette Downs, Northern Territory, Australia
BTE	Bonthe, Sierra Leone
BTF	Bountiful, UT [Skypark], USA
BTG	Batangafo, Central African Republic
BTH	Batam, Batu Besar, Indonesia
BTI	Barter Island, AK [Barter Island LRRS], USA
BTJ	Banda Aceh (Kuturaja) [Blang Bintang], Indonesia
BTK	Bratsk, Irkutsk, Russia
BTL	Battle Creek, MI [W. K. Kellogg Airport], USA
BTM	Butte, MT [Bert Mooney Airport], USA
BTN	Bennettsville, SC [Marlboro County Airport], USA
BTO	Botopasie, Suriname
BTP	Butler, PA [Butler County Airport], USA
BTQ	Butare, Rwanda
BTR	Baton Rouge, LA [Baton Rouge Metropolitan Airport/Ryan Field], USA
BTS	Bratislava [M. R. Stefanik], Slovakia
BTT	Bettles, AK [Bettles Airport], USA
BTU	Bintulu, Sarawak, Malaysia
BTV	Burlington, VT [Burlington International Airport], USA
BTW	Batu Licin, Indonesia
BTX	Betoota, Queensland, Australia
BTY	Beatty, NV [Beatty Airport], USA
BTZ	Bursa, Turkey
BUA	Buka Island, Papua New Guinea
BUB	Burwell, NE [Cram Field], USA
BUC	Burketown, Queensland, Australia
BUD	Budapest [Ferihegyi], Hungary
BUE	Buenos Aires [Metropolitan Area], Argentina
BUF	Buffalo, NY [Greater Buffalo International Airport], USA
BUG	Benguela, Angola
BUH	Bucharest [Metropolitan Area], Romania
BUI	Bokondini, Indonesia
BUJ	Bou Saada, Algeria
BUK	Albuq, Yemen
BUL	Bulolo, Papua New Guinea
BUM	Butler, MO [Butler Memorial Airport], USA
BUN	Buenaventura, Colombia
BUO	Burao, Somalia
BUP	Bhatinda, India
BUQ	Bulawayo, Zimbabwe
BUR	Burbank, CA [Burbank-Glendale-Pasadena Airport], USA
BUS	Batumi, Abkhazia, Georgia
BUT	Burtonwood, United Kingdom
BUU	Buyo, Ivory Coast
BUV	Bella Union, Uruguay
BUW	Buton Babau, Indonesia
BUX	Bunia, Zaire
BUY	Bunbury, Western Australia, Australia
BUZ	Bushehr, Iran
BVA	Beauvais [Tille], France
BVB	Boa Vista, RR, Brazil
BVC	Boavista, Boavista, Cape Verde
BVD	Beaver Inlet, AK, USA
BVE	Brive-La-Gaillarde, France
BVF	Bua, Fiji
BVG	Berlevag, Norway
BVH	Vilhena, RO, Brazil
BVI	Birdsville, Queensland, Australia
BVM	Belmonte, BA, Brazil
BVN	Albion, NE [Albion Municipal Airport], USA
BVO	Bartlesville, OK [Bartlesville Municipal Airport], USA
BVP	Bolovip, Papua New Guinea
BVR	Esperadinha, Brava, Cape Verde
BVS	Breves, PA, Brazil
BVU	Bellevue, WA [Taymar Heliport], USA
BVW	Batavia Downs, Queensland, Australia
BVX	Batesville, AR [Batesville Regional Airport], USA
BVY	Beverly, MA [Beverly Municipal Airport], USA
BVZ	Beverley Springs, Western Australia, Australia
BWA	Bhairawa, Nepal
BWB	Barrow Island, Western Australia, Australia
BWC	Brawley, CA [Brawley Municipal Airport], USA
BWD	Brownwood, TX [Brownwood Municipal Airport], USA
BWE	Braunschweig, Germany
BWF	Barrow-in-Furness, United Kingdom
BWG	Bowling Green, KY [Bowling Green-Warren County Regional Airport], USA
BWH	Butterworth, Malaysia
BWI	Baltimore, MD [Baltimore/Washington International Airport], USA
BWJ	Bawan, Papua New Guinea
BWK	Bol, Croatia
BWL	Blackwell, OK [Earl Henry Airport], USA
BWM	Bowman, ND [Bowman Municipal Airport], USA
BWN	Bandar Seri Begwan [International], Brunei
BWO	Balakovo, Saratov, Russia
BWP	Benawi, Papua New Guinea
BWQ	Brewarrina, New South Wales, Australia
BWS	Blaine, WA [Blaine Municipal Airport], USA
BWT	Burnie (Wynyard), Tasmania, Australia
BWU	Bankstown, New South Wales, Australia
BWV	Banmethuot, Vietnam
BWY	Suffolk, England [Bentwaters Station], United Kingdom
BXA	Bogalusa, LA [George R. Carr Memorial Air Field], USA
BXB	Babo, Indonesia
BXC	Boxborough, MA, USA
BXD	Bade, Indonesia
BXE	Bakel, Senegal
BXG	Waynesboro, GA [Burke County Airport], USA
BXH	Balhash, Kazakhstan
BXI	Boundiali, Ivory Coast
BXK	Buckeye, AZ [Buckeye Municipal Airport], USA
BXL	Blue Lagoon, Fiji
BXM	Batom, Indonesia
BXO	Bissau [Bissallanca], Guinea Bissau
BXS	Borrego Springs, CA [Borrego Valley Airport], USA
BXT	Bontang, Indonesia
BXU	Butuan, Philippines
BXV	Breiddalsvik [Breidhdalur], Iceland
BYA	Boundary, AK [Boundary Airport], USA
BYB	Dibaa, Oman
BYC	Yacuiba, Bolivia
BYD	Beidah, Yemen
BYG	Buffalo, WY [Johnson County Airport], USA
BYH	Blytheville, AR [Arkansas International Airport], USA
BYI	Burley, ID [Burley Municipal Airport], USA
BYK	Bouake, Ivory Coast
BYL	Bella Yella, Liberia
BYM	Bayamo, Cuba
BYO	Bay of Islands, New Zealand
BYQ	Bunyu, Indonesia
BYS	Fort Irwin/Barstow, CA [Bicycle Lake Army Air Field], USA
BYT	Bantry, Ireland
BYU	Bayreuth, Germany
BYV	Baiyer River, Papua New Guinea
BYW	Blakeley Island, WA [Blakeley Island Airport], USA
BZA	Bonanza, Nicaragua
BZC	Buzios, Brazil
BZD	Balranald, New South Wales, Australia
BZE	Belize City [Philip S. W. Goldson International Airport], Belize
BZG	Bydgoszcz, Poland
BZH	Brezhnev, Russia
BZI	Balikesir, Turkey
BZK	Bryansk, Bryansk, Russia
BZL	Barisal, Bangladesh
BZN	Bozeman, MT [Gallatin Field], USA
BZO	Bolzano (Bozen), Italy
BZP	Bizant, Queensland, Australia
BZR	Beziers [Vias], France
BZS	Washington, DC [Buzzards Point Seaplane Base], USA
BZT	Brazoria, TX [Eagle Air Park], USA
BZU	Buta [Zega], Zaire
BZV	Brazzaville [Maya Maya], Congo
BZY	Beltsy, Moldova
BZZ	Oxford, England [Brize Norton Station], United Kingdom
CAA	Catacamas, Honduras
CAB	Cabinda, Angola
CAC	Cascavel, PR, Brazil
CAD	Cadillac, MI [Wexford County Airport], USA
CAE	Columbia, SC [Columbia Metropolitan Airport], USA
CAF	Carauari, AM, Brazil
CAG	Cagliari, Sardinia [Elmas], Italy
CAH	Ca Mau, Vietnam
CAI	Cairo [Cairo International Airport], Egypt
CAJ	Canaima, Venezuela
CAK	Akron, OH [Akron-Canton Regional Airport], USA
CAL	Campbeltown, United Kingdom
CAM	Camiri, Bolivia
CAN	Guangzhou (Canton) [Baiyun], China
CAO	Clayton, NM [Clayton Municipal Airpark], USA
CAP	Cap Haitien, Haiti
CAQ	Caucasia, Colombia
CAR	Caribou, ME [Caribou Municipal Airport], USA
CAS	Casablanca [Mohammed V], Morocco
CAT	Cat Island, Bahamas
CAU	Caruaru, PE, Brazil
CAV	Cazombo, Colombia
CAW	Campos, RJ, Brazil
CAX	Carlisle, United Kingdom
CAY	Cayenne [Rochambeau], French Guyana
CAZ	Cobar, New South Wales, Australia
CBA	Corner Bay, AK, USA
CBB	Cochabamba [Jorge Wilsterman], Bolivia
CBC	Cherrabun, Western Australia, Australia
CBD	Car Nicobar, India
CBE	Cumberland, MD [Greater Cumberland Regional Airport], USA
CBF	Council Bluffs, IA [Council Bluffs Municipal Airport], USA
CBG	Cambridge, United Kingdom
CBH	Bechar [Leger], Algeria
CBJ	Cabo Rojo, Dominican Republic
CBK	Colby, KS [Shaltz Field], USA
CBL	Ciudad Bolivar, Venezuela
CBM	Columbus, MS [Columbus Air Force Base], USA
CBN	Cirebon, Indonesia
CBO	Cotabato, Philippines
CBP	Coimbra, Portugal
CBQ	Calabar, Nigeria
CBR	Canberra, Australian Capital Territory, Australia
CBS	Cabimas, Venezuela
CBV	Coban, Guatemala
CBX	Condobolin, New South Wales, Australia
CBY	Canobie, Queensland, Australia
CBZ	Cabin Creek, AK, USA
CCA	Fort Chaffee, AR [Chaffee Army Air Field], USA
CCB	Upland, CA [Cable Airport], USA
CCD	Los Angeles, CA [Century City Heliport], USA
CCE	Saint Martin [Grand Case], Guadeloupe
CCF	Carcassonne, France
CCG	Crane, TX [Crane County Airport], USA
CCH	Chile Chico, Chile
CCI	Concordia, AM, Brazil
CCJ	Calicut, India
CCK	Cocos Islands, Cocos (Keeling) Islands, Australia
CCL	Chinchilla, Chile
CCM	Crisciuma, SC, Brazil
CCN	Chakcharan, Afghanistan
CCO	Carimagua, Colombia
CCP	Concepcion [Carriel Sur], Chile
CCQ	Cachoeira, BA, Brazil
CCR	Concord, CA [Buchanan Field], USA
CCS	Caracas [Aeropuerto Internacional del Centro], Venezuela
CCT	Colonia Catriel, Argentina
CCU	Calcutta [Dum Dum International Airport], India
CCV	Craig Cove, Vanuatu
CCW	Cowell, South Australia, Australia
CCX	Caceres, MG, Brazil
CCY	Charles City, IA [Charles City Municipal Airport], USA
CCZ	Chub Cay, Berry, Bahamas
CDA	Cooinda, Northern Territory, Australia
CDB	Cold Bay, AK [Cold Bay Airport], USA
CDC	Cedar City, UT [Cedar City Municipal Airport], USA
CDE	Caledonia, Panama
CDF	Cortina d'Ampezzo, Italy
CDG	Paris [Charles de Gaulle], France
CDH	Camden, AR [Harrell Field], USA
CDI	Cedros Island, Mexico
CDJ	Conceicao, PB, Brazil
CDK	Cedar Key, FL [George T. Lewis Airport], USA
CDL	Candle, AK [Candle 2 Airport], USA
CDN	Camden, SC [Woodward Field], USA
CDO	Cradock, South Africa
CDP	Cuddapah, India
CDQ	Croydon, Queensland, Australia
CDR	Chadron, NE [Chadron Municipal Airport], USA
CDS	Childress, TX [Childress Municipal Airport], USA
CDU	Camden, New South Wales, Australia
CDV	Cordova, AK [Merle K. (Mudhole) Smith Airport], USA
CDW	Caldwell, NJ [Essex County Airport], USA
CDY	Cagayan de Sulu, Philippines
CEA	Wichita, KS [Cessna Aircraft Field], USA
CEB	Cebu, Philippines
CEC	Crescent City, CA [Jack McNamara Field.], USA
CED	Ceduna, South Australia, Australia
CEF	Springfield/Chicopee, MA [Westover Air Reserve Base/Metropolitan Airport], USA
CEG	Chester, United Kingdom
CEH	Chengteh, China
CEI	Chiang Rai [Chiang Rai INternational Airport], Thailand
CEJ	Chernihiv (Chernigov), Chernihiv, Ukraine
CEK	Chelyabinsk, Chelyabinsk, Russia
CEL	Cape Eleuthera, Bahamas
CEM	Central, AK [Central Airport], USA
CEN	Ciudad Obregon, Mexico
CEO	Waco Kungo, Angola
CEP	Concepcion, Bolivia
CEQ	Cannes [Mandelieu], France
CER	Cherbourg [Maupertus], France
CES	Cessnock, New South Wales, Australia
CET	Cholet, France
CEU	Clemson, SC [Clemson-Oconee County Airport], USA
CEV	Connersville, IN [Mettel Field], USA
CEW	Crestview, FL [Bob Sikes Airport], USA
CEX	Chena Hot Springs, AK [Chena Hot Springs Airport], USA
CEY	Murray, KY [Kyle-Oakley Field], USA
CEZ	Cortez, CO [Cortez-Montezuma County Airport], USA
CFA	Coffee Point, AK, USA
CFD	Bryan, TX [Coulter Field], USA
CFE	Clermont-Ferrand [Aulnat], France
CFG	Cienfuegos, Cuba
CFH	Clifton Hills, South Australia, Australia
CFI	Camfield, Northern Territory, Australia
CFJ	Crawfordsville, IN [Crawfordsville Municipal Airport], USA
CFN	Carrickfinn [Donegal], Ireland
CFO	Confreza, Brazil
CFP	Carpentaria Downs, Queensland, Australia
CFR	Caen [Carpiquet], France
CFS	Coffs Harbour, New South Wales, Australia
CFT	Clifton/Morenci, AZ [Greenlee County Airport], USA
CFU	Kerkyra, Corfu, Greece
CFV	Coffeyville, KS [Coffeyville Municipal Airport], USA
CGA	Craig, AK [Craig Seaplane Base], USA
CGB	Cuiaba, MT, Brazil
CGC	Cape Gloucester, Papua New Guinea
CGD	Changde, China
CGE	Cambridge, MD [Cambridge-Dorchester Airport], USA
CGF	Cleveland, OH [Cuyahoga County Airport], USA
CGG	Casiguran, Philippines
CGH	Sao Paulo, SP [Aeroporto de Congonhas], Brazil
CGI	Cape Girardeau, MO [Cape Girardeau Municipal Airport], USA
CGJ	Chingola, Zambia
CGK	Jakarta [Soekarno-Hatta International Airport], Indonesia
CGM	Camiguin, Philippines
CGN	Koeln (Koln,Cologne)/Bonn [Konrad Adenauer], Germany
CGO	Zhengzhou, China
CGP	Chittagong [Patenga], Bangladesh
CGQ	Changchun, China
CGR	Campo Grande, MS, Brazil
CGS	College Park, MD [College Park Airport], USA
CGT	Chinguitti, Mauritania
CGU	Ciudad Guayana, Venezuela
CGV	Caiguma, Australia
CGX	Chicago, IL [Merrill C. Meigs Airport], USA
CGY	Cagayan de Oro, Philippines
CGZ	Casa Grande, AZ [Casa Grande Municipal Airport], USA
CHA	Chattanooga, TN [Lovell Field], USA
CHB	Chilas, Pakistan
CHC	Christchurch [Christchurch International Airport], New Zealand
CHD	Chandler, AZ [Chandler Municipal Airport], USA
